ident,name,latitude_deg,longitude_deg,iso_region,type
VIDP,Indira Gandhi International Airport,28.55563,77.09519,IN-DL,large_airport
VABB,Chhatrapati Shivaji Maharaj International Airport,19.088699,72.867897,IN-MM,large_airport
VOMM,Chennai International Airport,12.990005,80.169296,IN-TN,large_airport
VOBL,Kempegowda International Airport Bengaluru,13.1979,77.706299,IN-KA,large_airport
VOHS,Rajiv Gandhi International Airport,17.231318,78.429855,IN-TG,large_airport
VECC,Netaji Subhash Chandra Bose International Airport,22.654012,88.44765,IN-WB,large_airport
VOGO,Goa Dabolim International Airport,15.380062,73.833328,IN-GA,large_airport
VOCI,Cochin International Airport,10.151047,76.400838,IN-KL,large_airport
VAAH,Sardar Vallabh Patel International Airport,23.0772,72.634697,IN-GJ,large_airport
VOTV,Thiruvananthapuram International Airport,8.481889,76.920029,IN-KL,large_airport
VIJP,Jaipur International Airport,26.8242,75.812202,IN-RJ,large_airport
VAPO,Pune International Airport,18.5821,73.919701,IN-MM,large_airport
VEBN,Lal Bahadur Shastri International Airport,25.452171,82.862549,IN-UP,large_airport
VOBG,HAL Airport,12.95,77.668198,IN-KA,medium_airport
VIAR,Sri Guru Ram Das Ji International Airport,31.7096,74.797302,IN-PB,large_airport
VABO,Vadodara International Airport,22.336201,73.226303,IN-GJ,large_airport
VEBS,Biju Patnaik International Airport,20.251021,85.814747,IN-OR,large_airport
VILK,Chaudhary Charan Singh International Airport,26.760599,80.889297,IN-UP,large_airport
VOML,Mangaluru International Airport,12.95471,74.886812,IN-KA,large_airport
VEVZ,Visakhapatnam International Airport,17.723506,83.227729,IN-AP,large_airport
VOCL,Calicut International Airport,11.135996,75.955152,IN-KL,large_airport
VOCB,Coimbatore International Airport,11.03,77.043404,IN-TN,large_airport
VOPB,Veer Savarkar International Airport / INS Utkrosh,11.640194,92.72902,IN-AN,large_airport
VIJO,Jodhpur Airport,26.251100540161133,73.04889678955078,IN-RJ,medium_airport
VOHY,Begumpet Airport,17.4531,78.467598,IN-TG,medium_airport
VICG,Shaheed Bhagat Singh International Airport,30.6735,76.788498,IN-CH,large_airport
VEGT,Lokpriya Gopinath Bordoloi International Airport,26.106654,91.585226,IN-AS,large_airport
VEBD,Bagdogra Airport,26.6812,88.328598,IN-WB,large_airport
VILH,Leh Kushok Bakula Rimpochee Airport,34.135899,77.546501,IN-LA,medium_airport
VAUD,Maharana Pratap Airport,24.6177005768,73.89610290530001,IN-RJ,medium_airport
VAID,Devi Ahilya Bai Holkar International Airport,22.721404,75.80051,IN-MP,large_airport
VOMD,Madurai Airport,9.83450984955,78.09339904790001,IN-TN,medium_airport
VISR,Sheikh ul Alam International Airport,33.987099,74.7742,IN-JK,large_airport
VASU,Surat International Airport,21.115531,72.743251,IN-GJ,large_airport
VEPT,Jay Prakash Narayan Airport,25.591299,85.087997,IN-BR,medium_airport
VANP,Dr. Babasaheb Ambedkar International Airport,21.092199,79.047203,IN-MM,large_airport
VABP,Raja Bhoj International Airport,23.2875,77.337402,IN-MP,large_airport
VOTP,Tirupati International Airport,13.631988,79.539869,IN-AP,large_airport
VOBZ,Vijayawada International Airport,16.530011,80.804888,IN-AP,large_airport
VABJ,Bhuj Airport,23.2877998352,69.6701965332,IN-GJ,medium_airport
VAJJ,Juhu Aerodrome,19.098100662231445,72.83419799804688,IN-MM,small_airport
VEIM,Bir Tikendrajit International Airport,24.76,93.896698,IN-MN,large_airport
VOKN,Kannur International Airport,11.916343,75.544979,IN-KL,large_airport
VAAU,Aurangabad Airport,19.862875,75.396312,IN-MM,medium_airport
VIJU,Jammu Airport,32.688849,74.838152,IN-JK,medium_airport
VARK,Rajkot Airport,22.3092,70.779503,IN-GJ,medium_airport
VERC,Birsa Munda Airport,23.314300537100003,85.3217010498,IN-JH,medium_airport
VIAG,Agra Airport / Agra Air Force Station,27.157975,77.961025,IN-UP,medium_airport
